Product Name,Price Before Discount,Current Price After Discount,Discount
Womens Mens Fashion Polyester Cotton Socks Sports Ankle Socks -5 Pairs,"KSh 1,351",KSh 689,49%
8PCS Stackable Stainless Steel Handle Precision Measuring Spoon Set,KSh 600,KSh 470,22%
Natural Luxury Abstract Fluid Art Painting Alcohol Ink Plush Throw Pillowcase,KSh 475,KSh 242,49%
Fashion Women Long Wallet Ladies Coin Purse Tri-fold Wallet Card Case Black Wallet,KSh 639,KSh 305,52%
Bluetooth Speaker Portable TF Card FM Mode HD Sound Quality,"KSh 1,399",KSh 745,47%
250ml Women Perfume Fragrance Mist EDT,KSh 548,KSh 279,49%
Men Perfume & Shower Gel Set Fragrance,KSh 548,KSh 279,49%
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,870","KSh 1,329",29%
Ladies Fragrance Mist Body Lotion Set - 70ml,KSh 332,KSh 152,54%
8'' Ring Light Tripod Stand LED Lights Selfie Phone Holder Phones Accessories,"KSh 1,299",KSh 699,46%
Hand-Held Battery Model Whisk Egg Beater Milk Coffee Frother Mixer Fruit Stick,KSh 588,KSh 314,47%
Ladies Body Spray & Body Lotion Set,KSh 332,KSh 152,54%
Men Perfume & Shower Gel Sets Fragrance,KSh 332,KSh 152,54%
Women Body Spray & Lotion Set Fragrance,KSh 332,KSh 152,54%
Men Perfume & Shower Gel Set Fragrance,KSh 332,KSh 152,54%
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,750","KSh 1,030",41%
"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Midnight Black (Newest Model)","KSh 11,500","KSh 9,999",13%
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 754,KSh 462,39%
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black","KSh 11,000","KSh 8,999",18%
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),"KSh 1,399",KSh 929,34%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,300","KSh 1,001",23%
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,"KSh 1,399",KSh 799,43%
128GB Metal Usb Flash Drive  3D Embossment,"KSh 1,044",KSh 645,38%
